strategy,k,chunk_size,chunk_overlap,embedding,n_questions,hit_at_k,doc_hit_at_k,mrr,latencia_media_ms
dense,1,400,100,hashing-512d-char4,40,0.525,0.75,0.525,0.13
dense,3,400,100,hashing-512d-char4,40,0.775,0.95,0.6375,0.13
dense,5,400,100,hashing-512d-char4,40,0.825,1.0,0.65,0.13
mmr,1,400,100,hashing-512d-char4,40,0.525,0.75,0.525,0.13
mmr,3,400,100,hashing-512d-char4,40,0.7,0.9,0.5958,0.23
mmr,5,400,100,hashing-512d-char4,40,0.775,0.95,0.61,0.48
bm25,1,400,100,hashing-512d-char4,40,0.475,0.65,0.475,0.3
bm25,3,400,100,hashing-512d-char4,40,0.725,0.95,0.5833,0.29
bm25,5,400,100,hashing-512d-char4,40,0.825,0.975,0.6058,0.29
hybrid,1,400,100,hashing-512d-char4,40,0.5,0.775,0.5,0.48
hybrid,3,400,100,hashing-512d-char4,40,0.775,0.975,0.6375,0.52
hybrid,5,400,100,hashing-512d-char4,40,0.875,0.975,0.6613,0.58
dense,1,800,120,hashing-512d-char4,40,0.475,0.75,0.475,0.13
dense,3,800,120,hashing-512d-char4,40,0.8,0.975,0.6125,0.14
dense,5,800,120,hashing-512d-char4,40,0.85,0.975,0.6237,0.14
mmr,1,800,120,hashing-512d-char4,40,0.475,0.75,0.475,0.14
mmr,3,800,120,hashing-512d-char4,40,0.55,0.9,0.5042,0.23
mmr,5,800,120,hashing-512d-char4,40,0.625,0.95,0.5208,0.41
bm25,1,800,120,hashing-512d-char4,40,0.4,0.625,0.4,0.26
bm25,3,800,120,hashing-512d-char4,40,0.775,0.975,0.5792,0.25
bm25,5,800,120,hashing-512d-char4,40,0.775,1.0,0.5792,0.28
hybrid,1,800,120,hashing-512d-char4,40,0.5,0.775,0.5,0.49
hybrid,3,800,120,hashing-512d-char4,40,0.8,0.975,0.6417,0.46
hybrid,5,800,120,hashing-512d-char4,40,0.825,1.0,0.6479,0.5
dense,1,1200,120,hashing-512d-char4,40,0.475,0.75,0.475,0.13
dense,3,1200,120,hashing-512d-char4,40,0.8,0.975,0.6125,0.13
dense,5,1200,120,hashing-512d-char4,40,0.85,0.975,0.6237,0.14
mmr,1,1200,120,hashing-512d-char4,40,0.475,0.75,0.475,0.13
mmr,3,1200,120,hashing-512d-char4,40,0.55,0.9,0.5042,0.23
mmr,5,1200,120,hashing-512d-char4,40,0.625,0.95,0.5208,0.43
bm25,1,1200,120,hashing-512d-char4,40,0.4,0.625,0.4,0.25
bm25,3,1200,120,hashing-512d-char4,40,0.775,0.975,0.5792,0.24
bm25,5,1200,120,hashing-512d-char4,40,0.775,1.0,0.5792,0.25
hybrid,1,1200,120,hashing-512d-char4,40,0.5,0.775,0.5,0.44
hybrid,3,1200,120,hashing-512d-char4,40,0.8,0.975,0.6417,0.45
hybrid,5,1200,120,hashing-512d-char4,40,0.825,1.0,0.6479,0.44
